,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Ayo Dosunmu,PG,23,CHI,29,21,26.3,3.9,7.6,.509,0.9,2.8,.329,2.9,4.8,.616,.570,0.8,1.0,.828,0.6,2.5,3.1,2.7,0.7,0.3,1.4,2.3,9.5
122,Devon Dotson,PG,23,WAS,5,0,10.0,0.2,2.0,.100,0.2,0.8,.250,0.0,1.2,.000,.150,0.0,0.0,,1.2,0.8,2.0,1.4,0.8,0.0,0.6,1.8,0.6
123,Jeff Dowtin,PG,25,TOR,9,0,7.4,1.0,2.0,.500,0.1,0.4,.250,0.9,1.6,.571,.528,0.1,0.1,1.000,0.4,0.7,1.1,0.9,0.0,0.1,0.1,0.4,2.2
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Goran Dragić,PG,36,CHI,29,0,17.0,3.0,6.8,.439,1.1,2.8,.400,1.9,4.0,.466,.520,0.8,1.2,.647,0.4,1.2,1.6,3.1,0.2,0.1,1.2,1.4,7.8
126,Andre Drummond,C,29,CHI,24,0,13.7,2.6,4.6,.564,0.0,0.1,.000,2.6,4.5,.574,.564,0.9,1.6,.579,2.1,4.9,7.0,0.8,0.6,0.3,1.2,2.0,6.1
127,Chris Duarte,SF,25,IND,11,5,18.7,3.2,7.8,.407,1.5,4.1,.378,1.6,3.7,.439,.506,1.2,1.5,.765,0.4,1.8,2.2,0.9,0.1,0.4,0.9,1.6,9.1
128,David Duke Jr.,SG,23,BRK,14,0,9.0,1.4,3.1,.442,0.0,0.4,.000,1.4,2.6,.514,.442,0.3,0.6,.500,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3.0
129,Kevin Durant,PF,34,BRK,31,31,36.5,10.8,19.2,.564,1.7,4.6,.361,9.1,14.5,.629,.608,6.8,7.4,.926,0.3,6.3,6.6,5.3,0.8,1.6,3.5,2.4,30.1
130,Jalen Duren,C,19,DET,31,7,23.4,3.1,4.9,.625,0.0,0.0,.000,3.1,4.9,.629,.625,1.1,1.9,.550,3.2,5.0,8.2,0.8,0.6,0.8,1.2,2.5,7.2
131,Tari Eason,PF,21,HOU,31,0,18.9,3.2,7.5,.431,0.8,2.0,.381,2.5,5.5,.450,.483,1.4,1.7,.827,2.1,3.2,5.2,0.8,1.2,0.5,0.9,2.2,8.6
132,Anthony Edwards,SG,21,MIN,32,32,36.5,8.3,18.1,.455,2.5,6.9,.362,5.8,11.2,.513,.524,4.0,5.3,.754,0.7,5.3,6.0,4.5,1.8,0.4,3.2,2.8,23.0
133,Kessler Edwards,SF,22,BRK,13,1,5.7,0.5,1.7,.273,0.2,0.8,.182,0.3,0.8,.364,.318,0.1,0.2,.500,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,1.2
134,Keon Ellis,SG,23,SAC,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0
135,Joel Embiid,C,28,PHI,22,22,35.8,10.6,20.2,.524,1.1,3.1,.348,9.5,17.1,.556,.551,10.3,12.0,.856,1.6,8.3,9.9,4.7,1.2,1.6,4.0,3.1,32.5
136,Drew Eubanks,C,25,POR,30,4,17.8,2.5,3.3,.750,0.0,0.1,.500,2.5,3.3,.755,.755,0.8,1.2,.676,1.5,2.7,4.2,1.0,0.5,1.0,0.8,1.9,5.9
137,Bruno Fernando,C,24,HOU,14,3,11.1,1.9,3.1,.591,0.0,0.1,.000,1.9,3.1,.605,.591,0.8,1.3,.611,1.7,2.3,4.0,1.1,0.3,0.7,0.6,2.2,4.5
138,Dorian Finney-Smith,PF,29,DAL,31,31,31.6,3.0,7.5,.401,1.9,5.4,.345,1.1,2.1,.547,.526,0.5,0.8,.640,1.4,2.6,4.0,1.2,1.0,0.5,0.9,1.9,8.4
139,Malachi Flynn,PG,24,TOR,20,1,14.3,2.4,5.8,.414,1.4,3.0,.458,1.1,2.9,.368,.530,0.6,0.7,.846,0.4,1.0,1.4,1.3,0.4,0.1,0.6,1.5,6.7
140,Simone Fontecchio,SF,27,UTA,19,0,9.6,1.4,3.6,.397,0.9,2.5,.375,0.5,1.1,.450,.529,0.5,0.7,.643,0.5,0.7,1.3,0.4,0.2,0.2,0.5,0.8,4.3
141,Bryn Forbes,SG,29,MIN,18,0,10.8,1.3,3.6,.354,0.5,1.8,.273,0.8,1.8,.438,.423,0.6,0.6,1.000,0.2,0.4,0.6,0.7,0.4,0.1,0.4,0.8,3.6
142,Trent Forrest,PG,24,ATL,13,3,15.1,1.5,3.2,.476,0.0,0.2,.000,1.5,3.1,.500,.476,0.2,0.2,.667,0.4,1.5,1.8,2.0,0.5,0.2,0.5,1.1,3.2
143,Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Evan Fournier,SG,30,NYK,13,7,20.0,2.4,6.9,.344,1.5,4.4,.333,0.9,2.5,.364,.450,0.7,0.8,.818,0.2,1.9,2.1,1.7,0.7,0.2,1.1,2.2,6.9
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,De'Aaron Fox,PG,25,SAC,27,27,32.3,8.5,17.0,.498,1.8,5.2,.343,6.7,11.9,.566,.550,4.4,5.4,.803,0.4,4.5,4.9,5.6,1.0,0.4,2.6,2.7,23.1
147,Markelle Fultz,SG,24,ORL,12,12,27.2,4.8,10.3,.468,0.6,1.3,.438,4.3,9.0,.472,.496,1.3,1.9,.696,1.3,2.3,3.5,4.9,1.3,0.3,2.5,2.6,11.6
148,Wenyen Gabriel,PF,25,LAL,22,2,14.3,2.0,3.5,.592,0.2,0.6,.308,1.9,2.9,.651,.618,0.9,1.1,.792,1.4,2.4,3.7,0.6,0.5,0.5,0.8,1.9,5.1
149,Daniel Gafford,C,24,WAS,32,1,14.8,2.7,3.6,.741,0.0,0.0,,2.7,3.6,.741,.741,1.2,2.0,.569,1.7,2.7,4.4,0.5,0.4,1.1,0.8,1.7,6.5
150,Darius Garland,PG,23,CLE,27,27,36.0,7.1,16.6,.432,2.4,6.3,.382,4.7,10.3,.462,.504,4.0,4.6,.878,0.4,2.3,2.7,7.8,1.4,0.2,3.3,2.1,20.7
151,Usman Garuba,PF,20,HOU,29,1,14.8,1.2,2.4,.493,0.2,0.5,.467,1.0,1.9,.500,.542,0.5,1.0,.536,1.9,3.0,4.9,1.0,0.9,0.6,0.7,1.7,3.2
152,Luka Garza,C,24,MIN,6,0,4.2,0.8,1.5,.556,0.0,0.5,.000,0.8,1.0,.833,.556,0.5,0.7,.750,0.3,0.8,1.2,0.5,0.0,0.0,0.2,0.8,2.2
153,Rudy Gay,SF,36,UTA,20,0,16.0,1.8,5.2,.350,0.7,2.7,.241,1.2,2.5,.469,.413,0.5,0.7,.692,0.6,2.7,3.3,0.8,0.6,0.5,0.7,1.3,4.7
154,Paul George,SF,32,LAC,23,23,34.0,8.0,17.9,.449,2.9,7.7,.381,5.1,10.3,.500,.530,4.4,5.0,.878,0.7,5.6,6.3,5.0,1.4,0.5,3.6,2.6,23.4
155,Taj Gibson,PF,37,WAS,19,1,7.6,0.9,2.1,.450,0.2,0.6,.273,0.8,1.5,.517,.488,0.7,0.8,.813,0.4,0.9,1.3,0.4,0.4,0.2,0.4,1.5,2.7
156,Josh Giddey,SG,20,OKC,27,27,30.9,6.3,13.6,.462,1.0,3.0,.317,5.3,10.6,.503,.497,1.1,1.5,.725,1.7,6.4,8.0,5.5,0.6,0.4,3.2,1.9,14.6
157,Shai Gilgeous-Alexander,SG,24,OKC,29,29,35.7,10.3,20.7,.498,1.0,3.0,.333,9.3,17.7,.526,.523,9.6,10.3,.930,0.8,3.9,4.7,5.7,1.7,1.0,3.4,2.6,31.2
158,Anthony Gill,PF,30,WAS,26,4,11.2,1.2,2.0,.566,0.1,0.5,.143,1.1,1.5,.718,.585,0.5,0.6,.867,0.6,1.0,1.5,0.5,0.2,0.2,0.2,1.3,2.9
159,Rudy Gobert,C,30,MIN,27,27,31.3,5.4,8.2,.661,0.0,0.1,.000,5.4,8.1,.670,.661,3.4,5.0,.694,3.7,8.6,12.3,0.9,0.9,1.3,1.6,3.1,14.3
160,Jordan Goodwin,PG,24,WAS,25,3,21.8,3.0,6.3,.475,0.8,1.9,.396,2.2,4.4,.509,.535,1.0,1.3,.727,1.2,2.9,4.1,3.1,1.2,0.6,1.0,1.9,7.7
161,Aaron Gordon,PF,27,DEN,27,27,29.5,6.6,10.9,.609,1.1,2.7,.392,5.6,8.1,.682,.658,2.9,4.4,.658,2.3,4.1,6.4,2.1,0.9,0.8,1.6,1.9,17.3
162,Eric Gordon,SG,34,HOU,27,27,29.6,3.9,9.4,.417,1.9,5.3,.354,2.0,4.1,.500,.518,1.7,2.0,.852,0.3,1.7,2.0,2.4,0.7,0.4,1.8,0.8,11.4
163,Devonte' Graham,PG,27,NOP,30,0,14.9,1.6,4.3,.369,1.3,3.5,.358,0.3,0.8,.417,.515,0.8,1.0,.806,0.2,1.2,1.5,2.0,0.5,0.2,0.6,0.8,5.3
164,Jerami Grant,PF,28,POR,30,30,35.9,7.2,15.2,.476,2.6,5.9,.441,4.6,9.3,.498,.561,4.8,6.1,.786,0.9,3.3,4.2,2.7,0.8,0.8,1.9,2.3,21.8
165,A.J. Green,SG,23,MIL,12,0,5.8,1.1,2.0,.542,0.8,1.6,.474,0.3,0.4,.800,.729,0.3,0.3,1.000,0.2,0.5,0.7,0.3,0.1,0.0,0.2,0.9,3.2
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Draymond Green,PF,32,GSW,29,29,30.6,3.3,6.2,.536,0.5,1.7,.313,2.8,4.6,.617,.577,1.0,1.4,.700,0.7,5.3,6.0,6.6,0.7,0.7,2.5,2.9,8.2
168,Jalen Green,SG,20,HOU,31,31,34.4,7.2,17.6,.411,2.2,7.1,.312,5.0,10.5,.478,.474,4.6,5.8,.793,0.6,3.6,4.2,3.6,0.8,0.3,3.0,1.7,21.3
169,JaMychal Green,PF,32,GSW,28,1,14.9,2.3,4.5,.512,0.5,1.8,.265,1.8,2.7,.671,.564,0.8,1.1,.733,1.4,2.6,4.0,0.8,0.5,0.4,1.1,2.0,5.8
170,Javonte Green,SG,29,CHI,25,1,16.2,2.2,3.8,.583,0.5,1.2,.387,1.8,2.6,.677,.646,0.9,1.4,.657,1.0,2.1,3.1,0.8,0.8,0.7,0.7,1.6,5.9
171,Jeff Green,PF,36,DEN,23,3,19.5,2.9,5.6,.523,0.3,1.3,.267,2.6,4.3,.602,.555,1.5,2.2,.686,0.9,1.9,2.8,1.2,0.4,0.3,1.0,1.8,7.7
172,Josh Green,SG,22,DAL,25,1,20.3,2.4,4.1,.583,1.0,2.2,.444,1.4,2.0,.735,.699,1.3,1.8,.711,0.9,1.4,2.3,1.2,0.9,0.0,0.7,2.5,7.0
173,AJ Griffin,SF,19,ATL,28,8,21.5,4.3,9.0,.474,1.8,4.8,.381,2.5,4.3,.580,.575,0.4,0.5,.857,0.7,1.6,2.3,1.0,1.1,0.1,0.8,1.3,10.8
174,Blake Griffin,PF,33,BOS,14,8,15.9,2.0,3.9,.509,0.6,1.6,.348,1.4,2.3,.625,.582,1.1,1.5,.714,1.1,3.1,4.2,1.3,0.2,0.1,0.4,2.1,5.6
175,Quentin Grimes,SG,22,NYK,21,16,25.0,3.0,6.1,.488,1.5,4.0,.386,1.5,2.2,.674,.612,1.1,1.3,.821,0.7,2.6,3.3,1.9,0.7,0.5,1.0,2.7,8.6
176,Rui Hachimura,PF,24,WAS,16,0,23.5,4.8,9.9,.481,0.8,2.3,.333,4.0,7.6,.525,.519,1.3,1.8,.724,0.8,4.1,4.8,1.1,0.3,0.5,1.4,1.1,11.6
177,Tyrese Haliburton,PG,22,IND,30,30,33.5,7.2,15.3,.472,2.9,7.4,.389,4.3,7.9,.549,.566,2.7,3.1,.871,0.7,3.3,4.0,10.6,1.7,0.4,2.7,1.1,20.0
178,Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,.321,0.3,1.7,.200,0.7,1.4,.462,.375,0.8,1.0,.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1
179,R.J. Hampton,PG,21,ORL,21,0,15.6,2.2,5.0,.438,0.8,2.3,.347,1.4,2.7,.518,.519,1.3,1.5,.871,0.4,1.2,1.6,1.5,0.8,0.2,0.9,1.0,6.5
180,Tim Hardaway Jr.,SG,30,DAL,30,13,26.5,4.3,11.3,.379,2.8,7.7,.361,1.5,3.7,.418,.501,2.0,2.5,.776,0.3,2.5,2.7,1.7,0.9,0.1,1.0,1.3,13.3
181,James Harden,SG,33,PHI,16,16,37.6,6.8,15.6,.434,2.6,7.2,.357,4.2,8.4,.500,.516,5.4,6.2,.869,0.6,5.8,6.3,10.3,1.3,0.6,3.8,2.2,21.4
182,Jaden Hardy,SG,20,DAL,9,0,7.1,1.6,4.4,.350,0.1,1.3,.083,1.4,3.1,.464,.363,1.0,1.0,1.000,0.0,0.9,0.9,0.3,0.1,0.2,0.3,1.0,4.2
183,Ron Harper Jr.,SF,22,TOR,2,0,4.0,1.0,2.0,.500,1.0,1.5,.667,0.0,0.5,.000,.750,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.0
184,Montrezl Harrell,C,29,PHI,26,5,11.5,1.8,3.2,.554,0.0,0.0,,1.8,3.2,.554,.554,1.4,2.0,.712,1.0,1.7,2.7,0.6,0.3,0.5,0.6,1.1,5.0
185,Gary Harris,SG,28,ORL,6,3,25.8,3.8,8.0,.479,1.7,3.8,.435,2.2,4.2,.520,.583,1.0,1.0,1.000,0.8,1.8,2.7,2.0,0.7,0.3,1.5,2.2,10.3
186,Joe Harris,SG,31,BRK,29,18,25.7,3.1,7.3,.425,1.9,5.0,.382,1.2,2.3,.515,.554,0.4,0.6,.706,0.4,2.4,2.8,1.7,0.6,0.3,0.6,2.5,8.5
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Kevon Harris,SG,25,ORL,25,0,12.0,1.1,2.8,.400,0.4,1.0,.423,0.7,1.8,.386,.479,0.9,1.0,.846,0.8,1.1,2.0,0.4,0.4,0.1,0.6,1.3,3.6
189,Tobias Harris,PF,30,PHI,27,27,34.2,6.6,13.2,.496,2.3,5.4,.422,4.3,7.8,.548,.583,1.7,2.0,.868,0.9,5.3,6.2,2.8,1.3,0.5,1.4,2.3,17.1
190,Josh Hart,SG,27,POR,30,30,34.4,3.6,7.2,.502,0.7,2.0,.373,2.9,5.3,.551,.553,1.7,2.3,.750,2.1,6.2,8.2,3.8,1.3,0.1,1.7,2.7,9.7
191,Isaiah Hartenstein,C,24,NYK,32,7,20.3,2.5,4.9,.506,0.2,0.8,.222,2.3,4.0,.566,.526,0.7,0.9,.793,3.0,3.9,7.0,0.9,0.7,0.8,0.9,2.5,5.8
192,Udonis Haslem,PF,42,MIA,5,1,7.2,0.2,2.0,.100,0.0,0.2,.000,0.2,1.8,.111,.100,0.2,0.4,.500,0.6,0.6,1.2,0.0,0.2,0.2,0.0,1.4,0.6
193,Sam Hauser,PF,25,BOS,32,0,16.2,2.3,4.9,.465,1.8,4.2,.422,0.5,0.7,.727,.646,0.2,0.3,.778,0.5,2.1,2.6,0.7,0.3,0.3,0.3,1.3,6.6
194,Jaxson Hayes,C,22,NOP,10,0,7.3,0.3,1.7,.176,0.0,0.9,.000,0.3,0.8,.375,.176,0.4,0.7,.571,0.3,1.4,1.7,0.5,0.3,0.1,0.4,0.6,1.0
195,Killian Hayes,PG,21,DET,34,21,25.2,3.5,9.4,.374,1.0,3.2,.309,2.5,6.2,.408,.427,0.7,0.9,.793,0.5,2.4,2.8,5.2,1.1,0.4,1.7,3.1,8.7
196,Gordon Hayward,SF,32,CHO,15,15,32.7,5.6,12.7,.442,1.3,3.7,.357,4.3,8.9,.478,.495,2.7,3.5,.755,0.9,4.1,4.9,4.1,0.7,0.3,2.4,1.2,15.2
197,Juancho Hernangómez,PF,27,TOR,21,7,19.1,1.9,3.7,.513,0.6,2.0,.310,1.3,1.7,.750,.596,0.2,0.5,.455,1.0,3.1,4.1,0.7,0.5,0.2,0.6,1.4,4.7
198,Willy Hernangómez,C,28,NOP,13,0,8.9,1.7,3.2,.524,0.1,0.4,.200,1.6,2.8,.568,.536,1.6,2.0,.808,1.2,2.0,3.2,0.5,0.3,0.2,1.0,1.0,5.1
199,Tyler Herro,SG,23,MIA,24,24,35.2,7.5,16.3,.457,3.4,8.3,.409,4.1,8.1,.505,.560,2.8,3.1,.905,0.5,5.6,6.1,4.3,0.9,0.5,2.7,1.7,21.1
200,Buddy Hield,SG,30,IND,32,32,31.8,6.3,14.0,.446,3.6,9.1,.397,2.7,4.9,.538,.575,1.3,1.5,.857,1.0,3.7,4.7,2.7,1.0,0.3,2.2,2.1,17.4
201,Haywood Highsmith,SF,26,MIA,21,2,20.0,1.6,4.4,.366,0.8,2.2,.370,0.8,2.2,.362,.457,0.2,0.7,.357,1.0,3.0,4.0,0.9,1.0,0.3,0.7,1.3,4.3
202,George Hill,PG,36,MIL,29,0,19.8,1.6,3.8,.427,0.7,2.1,.317,1.0,1.7,.560,.514,1.0,1.4,.714,0.4,1.8,2.2,2.6,0.4,0.1,0.9,1.2,4.9
203,Malcolm Hill,SF,27,CHI,3,0,0.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
204,Aaron Holiday,PG,26,ATL,28,2,17.3,1.9,4.4,.434,0.6,1.5,.419,1.3,2.8,.443,.508,0.7,0.8,.826,0.5,1.0,1.5,1.6,0.8,0.2,0.8,1.8,5.1
205,Jrue Holiday,PG,32,MIL,24,23,32.9,7.1,15.7,.452,2.2,6.1,.361,4.9,9.5,.511,.523,2.4,2.7,.891,1.3,4.1,5.3,7.6,1.5,0.5,3.3,1.9,18.8
206,Justin Holiday,SG,33,ATL,23,0,16.6,1.9,5.0,.386,1.2,3.4,.342,0.7,1.5,.486,.504,0.0,0.0,,0.0,0.8,0.8,0.9,0.2,0.4,0.5,1.5,5.0
207,Richaun Holmes,PF,29,SAC,16,0,8.8,1.4,2.0,.688,0.1,0.2,.667,1.3,1.8,.690,.719,0.3,0.4,.667,0.6,1.3,1.8,0.1,0.1,0.1,0.3,1.3,3.1
208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Al Horford,C,36,BOS,23,23,30.8,3.7,7.3,.512,2.0,4.6,.443,1.7,2.7,.629,.652,0.2,0.3,.625,1.0,5.3,6.2,2.7,0.4,1.1,0.7,2.0,9.7
210,Talen Horton-Tucker,SG,22,UTA,31,1,16.0,2.6,6.8,.384,0.6,2.8,.233,2.0,4.0,.488,.431,1.0,1.4,.744,0.5,2.0,2.5,2.3,0.8,0.4,1.2,1.4,6.9
211,Danuel House Jr.,SF,29,PHI,25,2,18.0,1.8,3.6,.500,0.8,2.1,.358,1.0,1.5,.703,.606,0.9,1.2,.767,0.2,1.8,2.0,0.8,0.2,0.2,0.5,1.4,5.3
212,Caleb Houstan,SF,20,ORL,21,1,18.7,1.4,3.8,.363,1.0,2.7,.351,0.4,1.1,.391,.488,0.5,0.6,.846,0.7,1.9,2.6,0.8,0.2,0.1,0.3,1.7,4.2
213,Trevor Hudgins,PG,23,HOU,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
214,Kevin Huerter,SG,24,SAC,29,29,31.8,5.4,11.6,.472,2.9,7.0,.412,2.6,4.5,.565,.597,1.6,2.3,.687,0.5,2.7,3.2,3.1,1.1,0.3,1.5,2.5,15.4
215,De'Andre Hunter,SF,25,ATL,27,27,30.9,5.4,12.0,.449,1.4,4.1,.355,4.0,8.0,.498,.509,2.9,3.6,.823,0.7,3.4,4.0,1.2,0.3,0.2,1.3,2.9,15.2
216,Bones Hyland,PG,22,DEN,22,0,20.9,4.6,11.7,.393,2.5,6.3,.406,2.0,5.4,.378,.502,2.0,2.4,.830,0.3,1.8,2.1,3.2,0.7,0.4,1.7,1.7,13.7
217,Serge Ibaka,PF,33,MIL,15,0,11.3,1.6,3.1,.511,0.4,1.0,.400,1.2,2.1,.563,.574,0.5,0.9,.615,0.9,1.9,2.8,0.3,0.0,0.4,0.5,1.3,4.1
218,Joe Ingles,SF,35,MIL,2,0,16.0,0.5,3.5,.143,0.5,3.5,.143,0.0,0.0,,.214,0.0,0.0,,1.0,0.0,1.0,1.0,0.5,0.0,2.5,2.0,1.5
219,Brandon Ingram,SF,25,NOP,15,15,32.1,7.3,15.4,.472,1.9,4.0,.467,5.4,11.4,.474,.532,4.4,5.1,.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8
220,Kyrie Irving,PG,30,BRK,22,22,36.6,9.7,19.8,.490,2.8,8.2,.337,6.9,11.5,.598,.560,4.0,4.4,.917,0.8,4.0,4.8,4.5,0.8,1.0,2.4,2.7,26.1
221,Jaden Ivey,SG,20,DET,30,29,30.4,5.5,13.1,.420,1.4,4.4,.308,4.1,8.7,.477,.472,3.2,4.5,.711,1.1,3.2,4.3,3.9,1.1,0.3,2.7,2.8,15.6
222,Isaiah Jackson,PF,21,IND,27,3,16.1,2.6,4.8,.550,0.0,0.2,.167,2.6,4.6,.569,.554,1.7,2.5,.691,1.5,2.8,4.3,1.0,0.5,1.2,1.0,2.4,7.0
223,Jaren Jackson Jr.,C,23,MEM,14,14,25.1,5.5,10.9,.503,1.7,4.6,.369,3.8,6.3,.602,.582,3.7,4.9,.754,1.7,4.3,6.0,0.6,1.0,3.2,1.5,3.0,16.4
224,Justin Jackson,SF,27,BOS,12,0,5.2,0.2,1.1,.154,0.2,0.9,.182,0.0,0.2,.000,.231,0.0,0.0,,0.0,0.6,0.6,0.3,0.2,0.2,0.1,0.3,0.5
225,Reggie Jackson,PG,32,LAC,30,30,29.0,4.5,11.0,.412,1.6,4.5,.360,2.9,6.5,.448,.486,1.6,1.8,.906,0.4,2.2,2.6,4.0,0.7,0.1,2.3,2.0,12.3
226,LeBron James,PF,38,LAL,23,23,36.2,10.7,21.9,.486,2.1,7.0,.304,8.5,14.9,.571,.535,3.7,5.1,.726,1.3,7.1,8.4,6.7,1.2,0.7,3.0,1.8,27.1
227,Ty Jerome,SG,25,GSW,17,1,16.1,2.2,4.2,.528,0.7,1.6,.429,1.5,2.6,.591,.611,1.1,1.1,.947,0.1,1.3,1.4,2.4,0.2,0.1,0.6,1.2,6.2
228,Isaiah Joe,SG,23,OKC,25,1,11.9,2.2,4.5,.478,1.7,3.7,.462,0.4,0.8,.550,.668,0.7,0.8,.857,0.1,1.8,1.9,1.0,0.5,0.1,0.5,1.2,6.8
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,.500,0.0,0.5,.000,0.8,1.0,.750,.500,0.3,0.5,.500,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8
231,Cameron Johnson,PF,26,PHO,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.9,4.0,.469,.578,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0
232,Jalen Johnson,SF,21,ATL,30,6,15.8,1.9,4.4,.435,0.3,1.6,.213,1.6,2.8,.560,.473,0.5,0.8,.696,0.6,3.0,3.6,1.0,0.5,0.5,0.6,1.8,4.7
233,James Johnson,PF,35,IND,7,0,8.9,0.9,2.3,.375,0.1,1.0,.143,0.7,1.3,.556,.406,0.0,0.0,,0.0,1.1,1.1,0.7,0.1,0.3,0.3,2.3,1.9
234,Keldon Johnson,SF,23,SAS,27,27,32.6,7.5,18.2,.411,2.7,7.7,.348,4.8,10.5,.458,.485,3.4,4.7,.738,1.0,4.2,5.2,2.9,0.8,0.1,2.3,1.9,21.1
235,Keon Johnson,SG,20,POR,13,0,13.3,2.3,6.1,.380,1.2,3.2,.381,1.1,2.8,.378,.481,0.2,0.6,.375,0.4,1.6,2.0,1.3,0.4,0.2,1.5,1.2,6.1
236,Stanley Johnson,SF,26,SAS,3,0,8.7,1.7,3.0,.556,0.7,1.3,.500,1.0,1.7,.600,.667,0.0,0.0,,0.0,1.3,1.3,1.7,0.0,0.3,0.7,0.3,4.0
237,Nikola Jokić,C,27,DEN,27,27,33.0,9.3,15.0,.617,0.8,2.5,.328,8.4,12.5,.675,.644,5.4,6.8,.798,2.2,8.8,11.0,9.2,1.5,0.7,3.7,2.7,24.7
238,Damian Jones,C,27,LAL,17,1,9.6,1.2,2.1,.556,0.0,0.2,.000,1.2,1.9,.606,.556,0.7,0.9,.750,1.0,2.1,3.1,0.2,0.1,0.6,0.5,0.9,3.1
239,Derrick Jones Jr.,SF,25,CHI,25,0,13.8,1.9,3.8,.500,0.4,1.3,.344,1.5,2.6,.578,.557,1.2,1.4,.833,0.9,1.4,2.3,0.6,0.5,0.7,0.4,1.3,5.5
240,Herbert Jones,SF,24,NOP,21,21,27.7,3.5,8.0,.440,0.9,3.0,.302,2.6,5.0,.524,.497,2.3,3.0,.750,1.2,2.2,3.4,2.2,1.2,0.7,1.1,3.4,10.2
241,Kai Jones,C,22,CHO,22,0,9.9,1.2,2.5,.500,0.1,0.5,.273,1.1,2.0,.558,.528,0.4,0.5,.727,0.9,1.4,2.2,0.2,0.2,0.5,0.4,1.4,3.0
242,Tre Jones,PG,23,SAS,29,29,30.3,4.6,11.0,.420,0.7,2.5,.288,3.9,8.5,.459,.453,2.5,2.8,.900,0.8,2.7,3.5,6.7,1.4,0.2,1.9,1.7,12.4
243,Tyus Jones,PG,26,MEM,30,5,24.2,4.1,9.2,.448,1.6,4.1,.379,2.6,5.1,.503,.532,0.9,1.2,.722,0.4,1.9,2.3,4.6,0.8,0.1,1.1,0.4,10.7
244,DeAndre Jordan,C,34,DEN,24,3,14.7,2.1,2.7,.769,0.0,0.0,1.000,2.0,2.7,.766,.777,0.7,1.4,.471,1.4,4.0,5.4,0.9,0.1,0.7,1.1,1.7,4.9
245,Cory Joseph,PG,31,DET,28,2,15.1,1.7,4.2,.410,0.6,1.8,.360,1.1,2.4,.448,.487,0.5,0.7,.700,0.3,0.9,1.1,3.1,0.3,0.1,0.6,1.4,4.6
246,Nikola Jović,PF,19,MIA,13,7,14.2,1.8,4.7,.393,0.5,2.4,.226,1.3,2.3,.567,.451,1.4,1.5,.947,0.6,1.5,2.2,0.8,0.5,0.1,0.8,1.2,5.6
247,Mfiondu Kabengele,PF,25,BOS,1,0,8.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0
248,Frank Kaminsky,C,29,ATL,14,0,8.1,1.1,1.9,.556,0.6,1.2,.471,0.5,0.7,.700,.704,0.6,0.6,1.000,0.1,1.6,1.7,1.0,0.1,0.0,0.4,1.1,3.3
249,Trevor Keels,SG,19,NYK,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Luke Kennard,SG,26,LAC,21,7,22.3,3.4,6.5,.522,2.0,4.2,.489,1.3,2.3,.583,.680,0.4,0.5,.900,0.2,2.5,2.7,1.1,0.5,0.1,1.0,1.3,9.2
