,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
28,RJ Barrett,SG,22,NYK,32,32,34.6,6.9,16.3,.423,1.7,5.5,.309,5.2,10.9,.480,.474,4.2,5.5,.761,0.9,4.5,5.4,3.0,0.6,0.2,2.4,2.3,19.7
29,Will Barton,SG,32,WAS,30,0,22.6,3.0,8.1,.374,1.4,3.9,.371,1.6,4.2,.378,.463,0.9,1.1,.818,0.2,2.8,3.1,2.8,0.5,0.3,1.2,1.2,8.4
30,Charles Bassey,C,22,SAS,20,1,14.9,2.3,3.4,.687,0.1,0.3,.333,2.2,3.1,.721,.701,0.7,1.1,.636,2.1,3.6,5.6,1.4,0.4,1.1,1.2,2.3,5.4
31,Keita Bates-Diop,SF,27,SAS,25,10,19.2,3.2,6.2,.526,0.5,1.5,.351,2.7,4.7,.581,.568,1.2,1.5,.816,1.3,1.9,3.2,0.9,0.7,0.2,0.8,0.8,8.2
32,Nicolas Batum,PF,34,LAC,33,4,20.9,2.2,4.7,.458,1.6,3.7,.430,0.6,1.0,.559,.626,0.4,0.7,.591,0.9,3.5,4.4,1.4,0.6,0.7,0.7,2.0,6.3
33,Darius Bazley,PF,22,OKC,21,1,16.9,2.2,5.1,.435,0.5,1.5,.355,1.7,3.7,.468,.486,0.9,1.7,.514,1.0,3.0,3.9,1.0,0.6,1.2,0.6,1.3,5.9
34,Bradley Beal,SG,29,WAS,20,20,34.9,8.7,16.8,.515,1.6,4.7,.333,7.1,12.2,.584,.561,4.6,5.3,.858,0.9,2.9,3.8,5.3,1.1,0.6,2.8,1.9,23.4
35,Malik Beasley,SG,26,UTA,34,5,27.3,5.1,12.3,.416,3.3,8.6,.387,1.8,3.7,.484,.551,0.6,0.7,.833,0.5,3.2,3.7,1.5,0.9,0.1,1.0,1.3,14.1
36,MarJon Beauchamp,SF,22,MIL,20,8,15.8,2.3,5.6,.414,1.2,3.2,.359,1.2,2.4,.489,.518,0.7,1.0,.737,1.0,1.9,2.9,0.6,0.6,0.1,1.2,1.8,6.5
37,Dāvis Bertāns,PF,30,DAL,13,0,8.5,1.4,3.3,.419,1.2,2.8,.432,0.2,0.5,.333,.605,0.4,0.5,.833,0.2,0.5,0.7,0.3,0.1,0.1,0.3,1.2,4.4
38,Patrick Beverley,PG,34,LAL,24,24,26.5,1.8,5.0,.358,0.8,3.1,.270,1.0,1.9,.500,.442,0.9,1.2,.786,0.5,3.0,3.5,2.6,0.9,0.5,1.0,2.8,5.3
39,Saddiq Bey,SF,23,DET,30,17,28.4,4.5,11.1,.402,1.6,5.2,.306,2.9,5.9,.489,.474,3.3,4.0,.833,0.9,3.1,4.0,1.5,0.8,0.1,1.0,1.6,13.9
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Khem Birch,C,30,TOR,18,0,8.2,1.0,1.7,.581,0.1,0.1,.500,0.9,1.6,.586,.597,0.2,0.3,.800,0.4,0.8,1.3,0.4,0.3,0.3,0.3,1.2,2.3
42,Goga Bitadze,C,23,IND,16,0,9.9,1.4,2.6,.548,0.2,0.8,.250,1.3,1.9,.667,.583,0.6,1.1,.500,1.0,1.3,2.3,1.0,0.4,0.6,0.6,1.8,3.6
43,Bismack Biyombo,C,30,PHO,26,4,13.6,1.6,2.8,.569,0.0,0.0,,1.6,2.8,.569,.569,0.5,1.2,.400,1.1,2.7,3.8,0.8,0.3,1.4,1.0,2.0,3.6
44,Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Bogdan Bogdanović,SG,30,ATL,9,2,29.3,6.2,14.4,.431,3.8,9.1,.415,2.4,5.3,.458,.562,1.3,1.6,.857,0.2,4.0,4.2,2.1,0.7,0.1,2.0,1.0,17.6
46,Bojan Bogdanović,PF,33,DET,33,33,30.9,6.8,13.7,.492,2.5,5.9,.421,4.3,7.8,.547,.583,4.7,5.2,.902,0.5,3.1,3.6,2.4,0.5,0.0,2.3,1.8,20.7
