,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,1,2,3,Year
396,Sidney Moncrief,24,MIL,1.0,101.0,690,0.146,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216,,,,1982
397,Magic Johnson,22,LAL,0.0,67.0,690,0.097,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207,,,,1982
398,Jack Sikma,26,SEA,0.0,33.0,690,0.048,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199,,,,1982
399,Kareem Abdul-Jabbar,34,LAL,0.0,31.0,690,0.045,76,35.2,23.9,8.7,3.0,0.8,2.7,0.579,0.0,0.706,10.7,0.192,,,,1982
400,Julius Erving,30,PHI,28.0,454.0,690,0.658,82,35.0,24.6,8.0,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231,,,,1981
401,Larry Bird,24,BOS,20.0,423.0,690,0.613,82,39.5,21.2,10.9,5.5,2.0,0.8,0.478,0.27,0.863,10.8,0.16,,,,1981
402,Kareem Abdul-Jabbar,33,LAL,8.0,286.0,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0.0,0.766,14.3,0.23,,,,1981
403,Moses Malone,25,HOU,8.0,180.0,690,0.261,80,40.6,27.8,14.8,1.8,1.0,1.9,0.522,0.333,0.757,13.7,0.202,,,,1981
404,George Gervin,28,SAS,1.0,83.0,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182,,,,1981
405,Marques Johnson,24,MIL,1.0,73.0,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0.0,0.706,11.2,0.211,,,,1981
406,Robert Parish,27,BOS,0.0,53.0,690,0.077,82,28.0,18.9,9.5,1.8,1.0,2.6,0.545,0.0,0.71,10.9,0.228,,,,1981
407,Dennis Johnson,26,PHO,0.0,50.0,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154,,,,1981
408,Tiny Archibald,32,BOS,0.0,32.0,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0.0,0.816,6.9,0.118,,,,1981
409,Jamaal Wilkes,27,LAL,0.0,19.0,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135,,,,1981
