,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
77,ABA,Mel Daniels, (V),24,INA,76,38.6,24.0,16.5,1.5,,,.476,.000,.604,8.6,.140
78,ABA,Connie Hawkins, (V),25,PTP,70,44.9,26.8,13.5,4.6,,,.519,.222,.764,17.9,.273
79,,,,,,,,,,,,,,,,,
80,NBA,6,,,,,,,,,,,,,,,
81,NBA,5,,,,,,,,,,,,,,,
82,NBA,5,,,,,,,,,,,,,,,
83,NBA,4,,,,,,,,,,,,,,,
84,NBA,4,,,,,,,,,,,,,,,
85,NBA,3,,,,,,,,,,,,,,,
86,ABA,3,,,,,,,,,,,,,,,
87,NBA,3,,,,,,,,,,,,,,,
88,NBA,3,,,,,,,,,,,,,,,
89,NBA,2,,,,,,,,,,,,,,,
90,NBA,2,,,,,,,,,,,,,,,
91,ABA,2,,,,,,,,,,,,,,,
92,NBA,2,,,,,,,,,,,,,,,
93,NBA,2,,,,,,,,,,,,,,,
94,NBA,2,,,,,,,,,,,,,,,
95,NBA,2,,,,,,,,,,,,,,,
96,NBA,2,,,,,,,,,,,,,,,
97,NBA,1,,,,,,,,,,,,,,,
98,NBA,1,,,,,,,,,,,,,,,
99,NBA,1,,,,,,,,,,,,,,,
100,NBA,1,,,,,,,,,,,,,,,
101,ABA,1,,,,,,,,,,,,,,,
102,NBA,1,,,,,,,,,,,,,,,
103,NBA,1,,,,,,,,,,,,,,,
104,NBA,1,,,,,,,,,,,,,,,
105,ABA,1,,,,,,,,,,,,,,,
106,NBA,1,,,,,,,,,,,,,,,
107,ABA,1,,,,,,,,,,,,,,,
108,ABA,1,,,,,,,,,,,,,,,
109,NBA,1,,,,,,,,,,,,,,,
110,NBA,1,,,,,,,,,,,,,,,
111,ABA,1,,,,,,,,,,,,,,,
112,NBA,1,,,,,,,,,,,,,,,
113,NBA,1,,,,,,,,,,,,,,,
114,NBA,1,,,,,,,,,,,,,,,
115,NBA,1,,,,,,,,,,,,,,,
116,NBA,1,,,,,,,,,,,,,,,
117,NBA,1,,,,,,,,,,,,,,,
118,NBA,1,,,,,,,,,,,,,,,
119,NBA,1,,,,,,,,,,,,,,,
120,NBA,1,,,,,,,,,,,,,,,
121,NBA,1,,,,,,,,,,,,,,,
